                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                  1.523,                0.75258,                 1.2728,                0.90602,                0.88649,                0.91201,                0.44907,                  1.755,                0.73323,                  1.326,                0.00505,                0.00505,                0.00505
                     52,                 1.5201,                 0.7508,                 1.2657,                0.90652,                0.88638,                0.91227,                0.44939,                 1.7558,                0.73154,                 1.3275,               0.004951,               0.004951,               0.004951
                     53,                 1.5192,                0.74406,                 1.2636,                0.90606,                0.88621,                0.91256,                0.44924,                 1.7569,                0.72997,                 1.3287,               0.004852,               0.004852,               0.004852
                     54,                 1.5153,                0.73864,                 1.2655,                 0.9061,                 0.8865,                0.91273,                 0.4491,                 1.7578,                0.72849,                 1.3299,               0.004753,               0.004753,               0.004753
                     55,                 1.5156,                0.74078,                 1.2682,                0.90605,                0.88673,                0.91252,                0.44921,                 1.7584,                  0.727,                 1.3311,               0.004654,               0.004654,               0.004654
                     56,                 1.5157,                0.73904,                 1.2716,                0.90665,                0.88654,                0.91286,                0.44912,                  1.759,                 0.7253,                 1.3326,               0.004555,               0.004555,               0.004555
                     57,                 1.5049,                0.73127,                  1.265,                0.90617,                0.88686,                 0.9126,                0.44887,                 1.7597,                0.72401,                 1.3339,               0.004456,               0.004456,               0.004456
                     58,                 1.5036,                0.73378,                 1.2652,                0.90653,                0.88652,                0.91243,                0.44892,                 1.7603,                0.72285,                 1.3353,               0.004357,               0.004357,               0.004357
                     59,                 1.4986,                 0.7264,                 1.2602,                0.90527,                0.88637,                0.91181,                0.44894,                 1.7612,                0.72092,                 1.3368,               0.004258,               0.004258,               0.004258
                     60,                 1.4998,                0.71973,                 1.2619,                0.90627,                0.88653,                0.91231,                0.44865,                 1.7621,                0.71934,                 1.3383,               0.004159,               0.004159,               0.004159
                     61,                 1.4977,                0.71571,                 1.2616,                0.90688,                0.88606,                0.91233,                0.44881,                 1.7631,                0.71742,                   1.34,                0.00406,                0.00406,                0.00406
                     62,                 1.4921,                0.71585,                 1.2661,                0.90706,                0.88567,                0.91257,                0.44851,                 1.7642,                0.71564,                 1.3416,               0.003961,               0.003961,               0.003961
                     63,                 1.4915,                0.71176,                 1.2601,                0.90575,                0.88644,                0.91229,                0.44834,                 1.7653,                0.71364,                 1.3431,               0.003862,               0.003862,               0.003862
                     64,                 1.4836,                0.70248,                 1.2546,                0.90506,                0.88741,                0.91221,                0.44828,                 1.7662,                0.71194,                 1.3443,               0.003763,               0.003763,               0.003763
                     65,                 1.4812,                 0.7091,                 1.2575,                0.90579,                0.88721,                0.91269,                0.44868,                 1.7671,                0.71047,                 1.3458,               0.003664,               0.003664,               0.003664
                     66,                 1.4756,                0.70174,                 1.2487,                0.90617,                0.88739,                0.91301,                0.44875,                 1.7682,                0.70887,                 1.3471,               0.003565,               0.003565,               0.003565
                     67,                 1.4728,                0.69387,                 1.2501,                0.90683,                0.88741,                0.91335,                0.44854,                 1.7697,                0.70753,                 1.3486,               0.003466,               0.003466,               0.003466
                     68,                 1.4693,                0.69287,                 1.2504,                0.90701,                0.88726,                0.91362,                0.44834,                  1.771,                 0.7061,                 1.3502,               0.003367,               0.003367,               0.003367
                     69,                 1.4702,                 0.6896,                 1.2537,                0.90682,                0.88711,                0.91314,                0.44811,                 1.7723,                0.70471,                 1.3517,               0.003268,               0.003268,               0.003268
                     70,                 1.4629,                0.68301,                 1.2472,                0.90683,                0.88749,                0.91372,                0.44794,                 1.7738,                0.70311,                 1.3532,               0.003169,               0.003169,               0.003169
                     71,                  1.455,                 0.6818,                 1.2424,                 0.9072,                0.88725,                0.91377,                0.44785,                 1.7752,                0.70162,                 1.3546,                0.00307,                0.00307,                0.00307
                     72,                 1.4527,                 0.6768,                 1.2428,                0.90701,                0.88722,                0.91394,                0.44742,                 1.7768,                    0.7,                  1.356,               0.002971,               0.002971,               0.002971
                     73,                 1.4491,                0.67575,                 1.2413,                0.90733,                0.88696,                0.91391,                0.44712,                 1.7786,                0.69826,                 1.3578,               0.002872,               0.002872,               0.002872
                     74,                 1.4417,                0.66847,                 1.2426,                0.90767,                0.88704,                0.91418,                0.44662,                 1.7803,                0.69652,                 1.3597,               0.002773,               0.002773,               0.002773
                     75,                 1.4389,                0.66148,                  1.237,                0.90806,                0.88677,                  0.914,                0.44628,                 1.7822,                0.69501,                 1.3616,               0.002674,               0.002674,               0.002674
                     76,                 1.4329,                0.66197,                 1.2292,                0.90821,                0.88729,                0.91414,                0.44621,                  1.784,                0.69337,                 1.3631,               0.002575,               0.002575,               0.002575
                     77,                 1.4258,                0.65657,                 1.2306,                0.90851,                0.88677,                0.91408,                0.44538,                 1.7864,                0.69178,                  1.365,               0.002476,               0.002476,               0.002476
                     78,                  1.422,                0.65301,                 1.2241,                0.90811,                0.88693,                0.91427,                0.44546,                 1.7882,                0.69055,                 1.3664,               0.002377,               0.002377,               0.002377
                     79,                 1.4176,                0.64995,                  1.228,                0.90813,                0.88719,                0.91439,                0.44506,                 1.7901,                0.68924,                 1.3682,               0.002278,               0.002278,               0.002278
                     80,                 1.4086,                0.64261,                 1.2284,                0.90803,                 0.8871,                0.91419,                 0.4446,                 1.7921,                0.68811,                 1.3701,               0.002179,               0.002179,               0.002179
                     81,                 1.4068,                0.64312,                 1.2258,                0.90756,                0.88726,                 0.9142,                0.44423,                 1.7945,                0.68676,                 1.3719,                0.00208,                0.00208,                0.00208
                     82,                 1.3989,                0.64029,                 1.2216,                 0.9072,                0.88787,                0.91428,                 0.4438,                 1.7967,                0.68565,                 1.3738,               0.001981,               0.001981,               0.001981
                     83,                 1.3918,                   0.63,                 1.2136,                  0.907,                0.88763,                0.91399,                0.44335,                 1.7991,                0.68435,                 1.3756,               0.001882,               0.001882,               0.001882
                     84,                 1.3876,                0.63067,                 1.2159,                0.90725,                0.88728,                0.91364,                 0.4429,                 1.8015,                0.68323,                 1.3775,               0.001783,               0.001783,               0.001783
                     85,                 1.3835,                0.62744,                 1.2109,                0.90763,                0.88691,                0.91364,                 0.4423,                 1.8038,                0.68221,                 1.3792,               0.001684,               0.001684,               0.001684
                     86,                  1.372,                0.62169,                 1.2082,                0.90661,                0.88723,                0.91338,                0.44172,                 1.8064,                0.68088,                 1.3811,               0.001585,               0.001585,               0.001585
